                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2618,                 1.7398,                 1.7537,                0.53429,                0.50748,                 0.4832,                0.17383,                  2.316,                 1.7582,                  1.923,               0.008911,               0.008911,               0.008911
                     36,                 2.2338,                 1.7317,                   1.78,                0.56002,                0.50547,                0.56032,                0.23404,                 2.1817,                 1.7563,                 1.8273,               0.008878,               0.008878,               0.008878
                     37,                 2.2372,                 1.7147,                 1.7354,                0.62855,                0.52296,                0.54618,                0.22237,                 2.2101,                 1.5772,                  1.849,               0.008845,               0.008845,               0.008845
                     38,                 2.2382,                 1.6832,                 1.7485,                0.64202,                0.53701,                 0.5767,                0.23864,                 2.2547,                 1.7651,                 1.8806,               0.008812,               0.008812,               0.008812
                     39,                 2.2123,                 1.6458,                 1.7125,                0.55918,                0.56137,                0.54147,                0.19898,                 2.3244,                 1.7012,                 1.9199,               0.008779,               0.008779,               0.008779
                     40,                 2.2429,                 1.6717,                 1.7532,                0.56283,                0.47493,                 0.5261,                0.19945,                 2.3122,                 1.7236,                 1.8789,               0.008746,               0.008746,               0.008746
                     41,                 2.1888,                 1.6367,                 1.7229,                0.60097,                0.56159,                0.56013,                0.23217,                 2.2258,                 1.8186,                 1.8524,               0.008713,               0.008713,               0.008713
                     42,                 2.1912,                 1.6498,                 1.7184,                0.61257,                0.52736,                0.54202,                0.20474,                 2.2431,                 1.6133,                 1.8583,                0.00868,                0.00868,                0.00868
                     43,                 2.1651,                  1.616,                 1.7096,                0.58433,                0.59264,                0.59511,                 0.2436,                 2.1764,                 1.5185,                 1.7922,               0.008647,               0.008647,               0.008647
                     44,                 2.1784,                  1.606,                 1.7001,                0.63455,                0.53199,                0.56537,                0.22437,                 2.2709,                  1.567,                 1.8515,               0.008614,               0.008614,               0.008614
                     45,                 2.1485,                 1.5996,                 1.7018,                0.67704,                 0.5959,                0.63318,                0.27172,                 2.1154,                 1.5605,                 1.7881,               0.008581,               0.008581,               0.008581
                     46,                 2.1267,                 1.5382,                 1.6456,                0.65582,                0.58635,                    0.6,                0.23904,                 2.2408,                 1.4735,                 1.8584,               0.008548,               0.008548,               0.008548
                     47,                  2.131,                 1.5535,                 1.6786,                  0.672,                0.56067,                0.60133,                0.26726,                 2.2182,                 1.6138,                 1.8315,               0.008515,               0.008515,               0.008515
                     48,                 2.1254,                 1.5358,                 1.6795,                 0.7589,                0.58736,                0.65585,                0.27633,                  2.184,                 1.5109,                 1.8114,               0.008482,               0.008482,               0.008482
                     49,                 2.0848,                 1.4516,                 1.6404,                0.65538,                0.58661,                0.65059,                0.28045,                 2.0777,                 1.4567,                 1.7568,               0.008449,               0.008449,               0.008449
                     50,                 2.1161,                 1.5443,                 1.6767,                0.63559,                0.62546,                0.64411,                0.27611,                 2.0865,                 1.4311,                 1.7312,               0.008416,               0.008416,               0.008416
                     51,                  2.062,                 1.4347,                 1.6402,                 0.7475,                0.59968,                0.67731,                0.29621,                 2.0674,                 1.3627,                 1.7331,               0.008383,               0.008383,               0.008383
                     52,                 2.0916,                 1.5093,                 1.6472,                0.68949,                0.58646,                0.63511,                0.26342,                 2.1526,                 1.5165,                 1.7661,                0.00835,                0.00835,                0.00835
                     53,                 2.0836,                 1.4876,                 1.6402,                 0.6461,                0.62457,                0.64246,                0.27569,                 2.1654,                 1.5182,                 1.7974,               0.008317,               0.008317,               0.008317
                     54,                 2.0679,                  1.441,                 1.6299,                0.70782,                0.61206,                0.67465,                0.28647,                 2.0504,                 1.4101,                  1.717,               0.008284,               0.008284,               0.008284
                     55,                 2.0473,                 1.4522,                 1.6341,                0.68617,                0.59119,                0.62523,                 0.2699,                 2.1169,                 1.4932,                 1.7925,               0.008251,               0.008251,               0.008251
                     56,                 2.0726,                 1.4746,                 1.6575,                0.74035,                0.59806,                0.63848,                0.27539,                 2.1306,                   1.46,                 1.8002,               0.008218,               0.008218,               0.008218
                     57,                  2.016,                 1.4382,                 1.6202,                0.63971,                0.59503,                0.61619,                0.24046,                 2.2226,                 1.5698,                 1.8299,               0.008185,               0.008185,               0.008185
                     58,                 2.0276,                 1.4093,                 1.5993,                0.72692,                0.61464,                0.66976,                0.29563,                 2.0855,                 1.4151,                 1.7312,               0.008152,               0.008152,               0.008152
                     59,                 2.0441,                 1.4159,                 1.6258,                0.68642,                0.59333,                0.61974,                0.25499,                 2.1292,                 1.4762,                 1.7722,               0.008119,               0.008119,               0.008119
                     60,                 2.0424,                 1.4177,                  1.615,                0.75546,                0.63156,                0.66794,                0.29302,                 2.1023,                 1.4223,                 1.7594,               0.008086,               0.008086,               0.008086
                     61,                 2.0172,                 1.4074,                 1.5915,                  0.789,                0.60049,                0.68731,                0.29464,                 2.0764,                   1.35,                 1.7374,               0.008053,               0.008053,               0.008053
                     62,                 2.0057,                 1.3585,                 1.5713,                0.68191,                0.63188,                0.66688,                0.30203,                 2.1311,                 1.3766,                 1.7528,                0.00802,                0.00802,                0.00802
                     63,                 2.0158,                 1.4032,                 1.5882,                0.72502,                0.61304,                0.66199,                 0.2946,                 2.0922,                 1.3618,                 1.7506,               0.007987,               0.007987,               0.007987
                     64,                 1.9978,                 1.3688,                 1.5713,                0.73757,                 0.6277,                0.68003,                0.30101,                 2.0774,                 1.3986,                 1.7411,               0.007954,               0.007954,               0.007954
                     65,                 1.9751,                 1.3588,                 1.5664,                0.74425,                0.62691,                0.69013,                0.31262,                 2.0536,                  1.328,                 1.7181,               0.007921,               0.007921,               0.007921
                     66,                 1.9765,                 1.3489,                 1.5733,                0.75427,                0.63826,                0.70518,                0.30703,                 2.0694,                 1.4463,                 1.7215,               0.007888,               0.007888,               0.007888
                     67,                 1.9817,                 1.3668,                 1.5821,                0.77129,                0.64299,                 0.7115,                0.31463,                 2.0679,                 1.3663,                  1.727,               0.007855,               0.007855,               0.007855
