                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  2.463,                 1.8427,                 2.0188,                0.77116,                0.58442,                0.66404,                0.29292,                 2.0688,                 1.4396,                 1.7245,               0.008878,               0.008878,               0.008878
                     37,                 2.4854,                 1.8159,                 1.9778,                0.71426,                0.64343,                0.63701,                0.28949,                 2.0708,                  1.555,                 1.7429,               0.008845,               0.008845,               0.008845
                     38,                 2.4515,                 1.8353,                 1.9795,                0.77261,                0.62542,                0.69402,                0.30716,                 2.0942,                 1.4496,                 1.7441,               0.008812,               0.008812,               0.008812
                     39,                 2.4435,                 1.7695,                 1.9608,                0.77332,                0.64484,                0.69759,                0.32838,                 1.9418,                 1.3838,                 1.6498,               0.008779,               0.008779,               0.008779
                     40,                 2.4636,                 1.7783,                 1.9849,                0.81627,                0.64289,                0.71435,                0.31946,                 2.0765,                 1.4604,                  1.796,               0.008746,               0.008746,               0.008746
                     41,                 2.4203,                 1.7211,                 1.9665,                0.77079,                 0.5917,                0.66623,                0.30352,                 2.1572,                 1.7023,                 1.7627,               0.008713,               0.008713,               0.008713
                     42,                  2.387,                 1.7067,                 1.9287,                0.85442,                0.64415,                0.72139,                0.32135,                 2.0492,                  1.358,                 1.7021,                0.00868,                0.00868,                0.00868
                     43,                 2.3543,                 1.6707,                 1.9186,                0.77008,                0.64254,                0.70681,                0.31563,                  2.101,                 1.4897,                 1.7662,               0.008647,               0.008647,               0.008647
                     44,                 2.3934,                 1.6856,                 1.9336,                0.75268,                0.67585,                0.72365,                0.33113,                 1.9947,                 1.3436,                 1.7256,               0.008614,               0.008614,               0.008614
                     45,                 2.3761,                 1.6865,                 1.9342,                0.81872,                0.62456,                0.69659,                0.32063,                 1.9898,                 1.4049,                 1.6798,               0.008581,               0.008581,               0.008581
                     46,                 2.3379,                  1.605,                 1.8825,                0.82707,                0.65411,                0.71201,                0.30927,                 2.1417,                 1.3127,                 1.7906,               0.008548,               0.008548,               0.008548
                     47,                 2.3589,                 1.6323,                  1.914,                0.76563,                0.64713,                0.69788,                0.33121,                 1.9913,                 1.4477,                  1.673,               0.008515,               0.008515,               0.008515
                     48,                 2.3201,                 1.6172,                 1.8908,                0.80743,                0.64759,                 0.7207,                0.31963,                 2.1223,                 1.3373,                 1.7625,               0.008482,               0.008482,               0.008482
                     49,                 2.2793,                 1.5088,                 1.8595,                0.85298,                0.67837,                0.73929,                0.34272,                 2.0015,                 1.2055,                 1.6642,               0.008449,               0.008449,               0.008449
                     50,                 2.3207,                 1.6131,                 1.8994,                0.84166,                0.68354,                0.74776,                0.33324,                 1.9967,                  1.287,                 1.6849,               0.008416,               0.008416,               0.008416
                     51,                  2.251,                 1.4905,                 1.8665,                0.82257,                0.68688,                0.74196,                0.33408,                 2.0034,                 1.2136,                 1.6639,               0.008383,               0.008383,               0.008383
                     52,                 2.2978,                 1.5432,                 1.8814,                0.84138,                0.69674,                0.74864,                0.33831,                 2.0564,                 1.2636,                 1.6832,                0.00835,                0.00835,                0.00835
                     53,                  2.296,                 1.5288,                 1.8708,                  0.784,                0.68368,                0.73743,                0.33972,                 2.0088,                 1.2866,                 1.6813,               0.008317,               0.008317,               0.008317
                     54,                 2.2944,                 1.4867,                 1.8676,                 0.8722,                 0.6941,                0.76386,                0.36644,                  1.964,                 1.1909,                 1.6308,               0.008284,               0.008284,               0.008284
                     55,                 2.2628,                 1.4837,                 1.8591,                0.82545,                0.69712,                0.76268,                0.36668,                 1.9109,                 1.1831,                 1.6237,               0.008251,               0.008251,               0.008251
                     56,                 2.2694,                 1.4972,                 1.8794,                0.77892,                0.60095,                0.64224,                0.26789,                 2.2185,                 1.4992,                 1.8341,               0.008218,               0.008218,               0.008218
                     57,                  2.205,                 1.4502,                 1.8377,                0.82043,                0.70635,                0.75502,                0.34787,                 1.9624,                 1.1832,                 1.6669,               0.008185,               0.008185,               0.008185
                     58,                 2.2346,                 1.4169,                 1.8355,                0.79592,                0.70934,                0.76283,                 0.3593,                 1.9546,                 1.2187,                 1.6532,               0.008152,               0.008152,               0.008152
                     59,                  2.239,                  1.466,                  1.846,                0.82243,                0.69253,                0.75121,                0.36057,                 1.8957,                 1.2346,                 1.6053,               0.008119,               0.008119,               0.008119
                     60,                 2.1964,                 1.4238,                 1.8062,                0.83892,                0.68948,                0.77222,                0.37547,                 1.9721,                 1.1532,                 1.6529,               0.008086,               0.008086,               0.008086
                     61,                 2.1986,                 1.4349,                 1.8028,                0.82397,                0.69189,                0.73827,                0.34647,                 2.0127,                 1.2594,                  1.682,               0.008053,               0.008053,               0.008053
                     62,                 2.1957,                 1.3804,                 1.7959,                0.87202,                0.67978,                0.76957,                0.35853,                 1.9246,                 1.1205,                 1.6335,                0.00802,                0.00802,                0.00802
                     63,                 2.2409,                 1.4277,                 1.8171,                0.85185,                0.73457,                0.77765,                0.37852,                 1.8576,                 1.1472,                   1.59,               0.007987,               0.007987,               0.007987
                     64,                 2.1732,                 1.3808,                 1.7836,                0.86413,                0.72953,                0.79076,                0.37537,                 2.0039,                 1.1256,                  1.675,               0.007954,               0.007954,               0.007954
                     65,                 2.1552,                 1.3577,                 1.7718,                0.85501,                0.69368,                0.77063,                0.37246,                 1.8842,                 1.1487,                 1.5983,               0.007921,               0.007921,               0.007921
                     66,                  2.166,                 1.3765,                 1.7873,                 0.8468,                0.70365,                0.77028,                0.37914,                 1.9189,                 1.0958,                 1.6096,               0.007888,               0.007888,               0.007888
                     67,                 2.1839,                 1.3906,                 1.7853,                0.84756,                0.70154,                0.77017,                0.35422,                 1.9315,                 1.2201,                 1.6595,               0.007855,               0.007855,               0.007855
