                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9766,                  1.499,                 1.6259,                 0.7075,                0.62429,                0.65952,                0.29654,                 2.0497,                 1.3913,                 1.7446,               0.008878,               0.008878,               0.008878
                     37,                 1.9853,                 1.4698,                  1.595,                0.76808,                 0.5939,                0.64878,                0.28931,                 2.1295,                 1.5709,                 1.7912,               0.008845,               0.008845,               0.008845
                     38,                 1.9918,                 1.4687,                 1.6084,                0.75675,                0.66308,                0.67365,                0.30546,                 1.9962,                  1.442,                 1.7262,               0.008812,               0.008812,               0.008812
                     39,                 1.9588,                 1.4185,                 1.5608,                0.78575,                0.65115,                0.69126,                0.30192,                 2.1058,                 1.3875,                  1.761,               0.008779,               0.008779,               0.008779
                     40,                 1.9569,                 1.3973,                 1.5919,                0.73566,                0.65631,                0.69859,                0.29163,                 2.0691,                 1.4254,                 1.7248,               0.008746,               0.008746,               0.008746
                     41,                 1.9524,                 1.3991,                 1.5835,                0.76157,                0.59879,                0.67401,                0.29245,                 2.1759,                 1.4442,                  1.836,               0.008713,               0.008713,               0.008713
                     42,                 1.9408,                 1.3804,                 1.5675,                0.79739,                0.63946,                0.71027,                0.30692,                 2.0796,                 1.3256,                 1.7558,                0.00868,                0.00868,                0.00868
                     43,                 1.9191,                 1.3515,                 1.5575,                0.79226,                 0.6495,                0.73056,                0.33358,                 2.0866,                 1.3024,                 1.7422,               0.008647,               0.008647,               0.008647
                     44,                 1.9188,                 1.3521,                 1.5452,                0.76669,                0.63351,                0.68522,                0.30991,                 2.0737,                 1.3838,                 1.7512,               0.008614,               0.008614,               0.008614
                     45,                 1.8888,                 1.3334,                 1.5524,                0.77452,                 0.6324,                0.71371,                0.32667,                 1.9597,                 1.5217,                 1.6768,               0.008581,               0.008581,               0.008581
                     46,                 1.9026,                 1.3056,                 1.5196,                0.85426,                0.63698,                0.71882,                0.31071,                  2.119,                 1.6074,                 1.7721,               0.008548,               0.008548,               0.008548
                     47,                 1.8935,                 1.2946,                 1.5423,                0.79163,                0.65713,                0.70666,                0.31283,                 2.1388,                 1.4277,                 1.7893,               0.008515,               0.008515,               0.008515
                     48,                 1.8653,                 1.2699,                 1.5189,                0.79633,                0.66595,                0.73377,                0.33784,                 2.0654,                 1.3001,                 1.7316,               0.008482,               0.008482,               0.008482
                     49,                 1.8333,                 1.2129,                 1.4926,                0.78869,                0.67541,                0.72812,                0.33529,                 2.0452,                  1.291,                 1.7152,               0.008449,               0.008449,               0.008449
                     50,                  1.903,                 1.2957,                 1.5523,                0.83048,                0.64884,                0.71567,                0.31011,                 2.1799,                 1.4752,                 1.8151,               0.008416,               0.008416,               0.008416
                     51,                 1.8192,                 1.1932,                 1.5027,                0.80358,                0.68784,                0.74194,                0.34379,                 2.0336,                 1.2163,                 1.6999,               0.008383,               0.008383,               0.008383
                     52,                 1.8555,                 1.2729,                 1.5135,                0.77615,                0.69557,                 0.7398,                0.35433,                 2.0176,                 1.3271,                 1.7044,                0.00835,                0.00835,                0.00835
