                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.5266,                 0.8702,                 1.2871,                0.91659,                   0.77,                0.84319,                0.42017,                 1.8566,                 0.9715,                 1.5627,               0.005479,               0.005479,               0.005479
                    140,                    1.5,                0.87543,                 1.2838,                0.84191,                0.79368,                0.82823,                 0.4166,                 1.9044,                0.99264,                 1.5893,               0.005446,               0.005446,               0.005446
                    141,                 1.5197,                 0.8597,                 1.2855,                0.85356,                 0.7807,                0.81939,                0.41004,                 1.9043,                0.97004,                 1.6171,               0.005413,               0.005413,               0.005413
                    142,                 1.5078,                0.86958,                 1.2879,                 0.8754,                 0.7928,                0.83109,                0.43627,                  1.919,                0.97379,                 1.6163,                0.00538,                0.00538,                0.00538
                    143,                 1.5169,                0.86195,                 1.2807,                0.89172,                0.80375,                0.84399,                0.43736,                  1.841,                0.94815,                 1.5414,               0.005347,               0.005347,               0.005347
                    144,                 1.5296,                0.87292,                 1.2764,                0.89267,                0.76885,                0.82772,                0.41367,                 1.8658,                0.98365,                 1.5489,               0.005314,               0.005314,               0.005314
                    145,                 1.5206,                0.86479,                 1.2794,                0.88363,                 0.7734,                0.82322,                0.42215,                 1.7986,                0.94792,                 1.5193,               0.005281,               0.005281,               0.005281
                    146,                  1.518,                0.87134,                 1.2966,                0.88077,                0.76389,                0.84019,                0.42159,                 1.8681,                0.96173,                 1.5865,               0.005248,               0.005248,               0.005248
                    147,                 1.5006,                0.84402,                 1.2679,                0.88191,                0.80124,                0.84039,                0.41548,                 1.9164,                0.96009,                 1.6244,               0.005215,               0.005215,               0.005215
                    148,                  1.497,                0.86591,                 1.2734,                0.86085,                0.78967,                0.83575,                0.42494,                 1.8694,                0.96579,                 1.5747,               0.005182,               0.005182,               0.005182
                    149,                 1.5214,                0.85901,                 1.2725,                 0.8619,                0.79972,                0.83875,                0.41839,                 1.8495,                0.94781,                  1.558,               0.005149,               0.005149,               0.005149
